stage_name,mean_us,p50_us,p95_us,p99_us,max_us,count
1_adc,667.74,666.75,712.08,743.92,821.71,102
2_pulse_compress,206.70,204.04,224.75,264.08,297.58,102
3_range_doppler,1252.87,1241.54,1325.71,1485.62,1613.08,102
4_cfar,81087.94,81092.71,82413.62,82812.88,83818.25,102
5_tracker,0.46,0.25,0.96,1.33,11.67,102
